trait_tissue	trait_desc	trait_seqid	trait_gene_ids	trait_protein_ids	notes_sex	notes_source_id	notes_maker	notes_maker_platform_technology	notes_maker_platform_description	notes_maker_platform_version
Plasma	Cyclin-A1	15319-226	ENSG00000133101	P78396	combined	seq.15319.226	Somalogic	proteomics	SomaScan	7k
Plasma	Complexin-2	15321-8	ENSG00000145920	Q6PUV4	combined	seq.15321.8	Somalogic	proteomics	SomaScan	7k
Plasma	Death domain-containing protein CRADD	15322-35	ENSG00000169372	P78560	combined	seq.15322.35	Somalogic	proteomics	SomaScan	7k
Plasma	Protein argonaute-3	15323-112	ENSG00000126070	Q9H9G7	combined	seq.15323.112	Somalogic	proteomics	SomaScan	7k
Plasma	Ferritin light chain	15324-58	ENSG00000087086	P02792	combined	seq.15324.58	Somalogic	proteomics	SomaScan	7k
Plasma	Neuromodulin	15325-14	ENSG00000172020	P17677	combined	seq.15325.14	Somalogic	proteomics	SomaScan	7k
Plasma	Guanylate-binding protein 1	15326-64	ENSG00000117228	P32455	combined	seq.15326.64	Somalogic	proteomics	SomaScan	7k
Plasma	Ragulator complex protein LAMTOR2	15329-167	ENSG00000116586	Q9Y2Q5	combined	seq.15329.167	Somalogic	proteomics	SomaScan	7k
Plasma	Histone-binding protein RBBP4	15331-47	ENSG00000162521	Q09028	combined	seq.15331.47	Somalogic	proteomics	SomaScan	7k
Plasma	Stromal cell-derived factor 2	15333-11	ENSG00000132581	Q99470	combined	seq.15333.11	Somalogic	proteomics	SomaScan	7k
Plasma	Selenoprotein M	15336-7	ENSG00000198832	Q8WWX9	combined	seq.15336.7	Somalogic	proteomics	SomaScan	7k
Plasma	Cofilin-2	15339-32	ENSG00000165410	Q9Y281	combined	seq.15339.32	Somalogic	proteomics	SomaScan	7k
Plasma	Kininogen, HMW, Two Chain	15343-337	ENSG00000113889	P01042	combined	seq.15343.337	Somalogic	proteomics	SomaScan	7k
Plasma	Interferon gamma	15346-31	ENSG00000111537	P01579	combined	seq.15346.31	Somalogic	proteomics	SomaScan	7k
Plasma	Hemopexin	15347-12	ENSG00000110169	P02790	combined	seq.15347.12	Somalogic	proteomics	SomaScan	7k
Plasma	Neuroendocrine protein 7B2	15358-28	ENSG00000166922|ENSG00000277614|ENSG00000281931	P05408	combined	seq.15358.28	Somalogic	proteomics	SomaScan	7k
Plasma	Ankyrin repeat domain-containing protein 1	15361-37	ENSG00000148677	Q15327	combined	seq.15361.37	Somalogic	proteomics	SomaScan	7k
Plasma	Apolipoprotein A-V	15363-32	ENSG00000110243	Q6Q788	combined	seq.15363.32	Somalogic	proteomics	SomaScan	7k
Plasma	Apolipoprotein C-I	15364-101	ENSG00000130208	P02654	combined	seq.15364.101	Somalogic	proteomics	SomaScan	7k
Plasma	Adhesion G protein-coupled receptor B3	15365-41	ENSG00000135298	O60242	combined	seq.15365.41	Somalogic	proteomics	SomaScan	7k
Plasma	BPI fold-containing family B member 1	15367-38	ENSG00000125999	Q8TDL5	combined	seq.15367.38	Somalogic	proteomics	SomaScan	7k
Plasma	BMP-binding endothelial regulator protein	15368-3	ENSG00000164619	Q8N8U9	combined	seq.15368.3	Somalogic	proteomics	SomaScan	7k
Plasma	BolA-like protein 1	15370-5	ENSG00000178096	Q9Y3E2	combined	seq.15370.5	Somalogic	proteomics	SomaScan	7k
Plasma	Bromodomain-containing protein 2	15372-43	ENSG00000204256|ENSG00000235307|ENSG00000234507|ENSG00000234704|ENSG00000215077	P25440	combined	seq.15372.43	Somalogic	proteomics	SomaScan	7k
Plasma	Carboxypeptidase B	15375-49	ENSG00000153002	P15086	combined	seq.15375.49	Somalogic	proteomics	SomaScan	7k
Plasma	Cathepsin E	15376-134	ENSG00000196188	P14091	combined	seq.15376.134	Somalogic	proteomics	SomaScan	7k
Plasma	Discoidin domain-containing receptor 2	15381-45	ENSG00000162733	Q16832	combined	seq.15381.45	Somalogic	proteomics	SomaScan	7k
Plasma	Endothelin-3	15383-200	ENSG00000124205	P14138	combined	seq.15383.200	Somalogic	proteomics	SomaScan	7k
Plasma	Klotho	15384-15	ENSG00000133116	Q9UEF7	combined	seq.15384.15	Somalogic	proteomics	SomaScan	7k
Plasma	Fatty acid-binding protein, intestinal	15385-116	ENSG00000145384	P12104	combined	seq.15385.116	Somalogic	proteomics	SomaScan	7k
Plasma	Fatty acid-binding protein, adipocyte	15386-7	ENSG00000170323	P15090	combined	seq.15386.7	Somalogic	proteomics	SomaScan	7k
Plasma	Neuropilin-2	15387-44	ENSG00000118257	O60462	combined	seq.15387.44	Somalogic	proteomics	SomaScan	7k
Plasma	Low affinity immunoglobulin gamma Fc region receptor III-A	15388-24	ENSG00000203747	P08637	combined	seq.15388.24	Somalogic	proteomics	SomaScan	7k
Plasma	Frataxin, mitochondrial	15389-1	ENSG00000165060	Q16595	combined	seq.15389.1	Somalogic	proteomics	SomaScan	7k
Plasma	Galanin	15390-3	ENSG00000069482	P22466	combined	seq.15390.3	Somalogic	proteomics	SomaScan	7k
Plasma	Growth arrest-specific protein 6	15391-114	ENSG00000183087	Q14393	combined	seq.15391.114	Somalogic	proteomics	SomaScan	7k
Plasma	Netrin receptor UNC5B	15394-79	ENSG00000107731	Q8IZJ1	combined	seq.15394.79	Somalogic	proteomics	SomaScan	7k
Plasma	Glutathione S-transferase Mu 1	15395-15	ENSG00000134184	P09488	combined	seq.15395.15	Somalogic	proteomics	SomaScan	7k
Plasma	FAD-linked sulfhydryl oxidase ALR	15398-2	ENSG00000127554	P55789	combined	seq.15398.2	Somalogic	proteomics	SomaScan	7k
Plasma	DNA-binding protein inhibitor ID-1	15402-2	ENSG00000125968	P41134	combined	seq.15402.2	Somalogic	proteomics	SomaScan	7k
Plasma	DNA-binding protein inhibitor ID-2	15403-53	ENSG00000115738	Q02363	combined	seq.15403.53	Somalogic	proteomics	SomaScan	7k
Plasma	Interferon alpha-21	15404-3	ENSG00000137080	P01568	combined	seq.15404.3	Somalogic	proteomics	SomaScan	7k
Plasma	Interferon alpha-4	15405-23	ENSG00000236637	P05014	combined	seq.15405.23	Somalogic	proteomics	SomaScan	7k
Plasma	Baculoviral IAP repeat-containing protein 7	15412-40	ENSG00000101197	Q96CA5	combined	seq.15412.40	Somalogic	proteomics	SomaScan	7k
Plasma	Phosphatidylcholine-sterol acyltransferase	15413-3	ENSG00000213398	P04180	combined	seq.15413.3	Somalogic	proteomics	SomaScan	7k
Plasma	L-lactate dehydrogenase A chain	15414-316	ENSG00000134333|ENSG00000288299	P00338	combined	seq.15414.316	Somalogic	proteomics	SomaScan	7k
Plasma	Lysozyme g-like protein 2	15416-54	ENSG00000185674	Q86SG7	combined	seq.15416.54	Somalogic	proteomics	SomaScan	7k
Plasma	Serpin B5	15417-3	ENSG00000206075	P36952	combined	seq.15417.3	Somalogic	proteomics	SomaScan	7k
Plasma	Mitogen-activated protein kinase 10	15418-25	ENSG00000109339	P53779	combined	seq.15418.25	Somalogic	proteomics	SomaScan	7k
Plasma	Matrix metalloproteinase-20	15419-15	ENSG00000137674	O60882	combined	seq.15419.15	Somalogic	proteomics	SomaScan	7k
Plasma	Myelin P2 protein	15422-12	ENSG00000147588	P02689	combined	seq.15422.12	Somalogic	proteomics	SomaScan	7k
Plasma	Sialidase-1	15426-5	ENSG00000227315|ENSG00000234343|ENSG00000227129|ENSG00000184494|ENSG00000234846|ENSG00000223957|ENSG00000228691|ENSG00000204386	Q99519	combined	seq.15426.5	Somalogic	proteomics	SomaScan	7k
Plasma	Lysyl oxidase homolog 3	15427-35	ENSG00000115318	P58215	combined	seq.15427.35	Somalogic	proteomics	SomaScan	7k
Plasma	Opticin	15430-165	ENSG00000188770	Q9UBM4	combined	seq.15430.165	Somalogic	proteomics	SomaScan	7k
Plasma	Ornithine carbamoyltransferase, mitochondrial	15431-31	ENSG00000036473	P00480	combined	seq.15431.31	Somalogic	proteomics	SomaScan	7k
Plasma	Otoraplin	15432-1	ENSG00000125879	Q9NRC9	combined	seq.15432.1	Somalogic	proteomics	SomaScan	7k
